bank_id,period,total_assets,total_loans,non_performing_loans,loan_loss_provisions,loan_loss_reserves,high_quality_liquid_assets,net_cash_outflows_30d,total_deposits,number_of_employees,total_equity,tier1_capital,tier2_capital,risk_weighted_assets,operating_expenses,operating_income,net_income,bank_type,stability,region,loan_growth_rate,asset_growth_rate,deposit_growth_rate,capital_adequacy_ratio,npl_ratio,liquidity_coverage_ratio,loan_to_deposit_ratio,return_on_assets,return_on_equity,provision_coverage_ratio,sector_loans_energy,sector_loans_real_estate,sector_loans_construction,sector_loans_services,sector_loans_agriculture,top1_borrower_loans,top10_borrower_loans,obs_exposure_total,external_credit_rating,nsfr,wholesale_funding_short_term,wholesale_funding_stable,loan_to_total_funding_ratio,wholesale_dependency_ratio,interest_income,interest_expense,net_interest_margin,derivatives_notional,unused_credit_lines,guarantees_issued,derivatives_to_assets_ratio,unused_lines_to_loans_ratio,guarantees_to_loans_ratio,obs_to_assets_ratio,top20_depositors,top20_depositors_ratio,top5_depositors,top5_depositors_ratio,sector_concentration_hhi,top20_borrower_loans,top20_borrower_concentration,geographic_concentration,liquidity_concentration_risk,credit_concentration_risk,obs_risk_indicator
VCB,3/31/2018,103042.1008,88472.26591,1841.012312,1187.798735,1480.102153,16483.98276,11372.14725,97574.7373,2032,10654.13283,8700.652893,1926.516307,75518.90541,1401.455159,2412.1254,1010.670241,large,high,north,0.5,0.5,0.5,0.5,0.2,0.5,1.3,0.009808323,0.094861802,0.4,20950.53564,32131.59377,15402.39984,329.740914,19657.99574,6699.205214,28691.32142,40704.9233,A,1.135706292,34131.36399,40578.25782,0.640393397,0.433641349,1667.304032,917.4637018,0.015,196591.4487,38125.98707,14765.44667,1.907875007,0.430937161,0.166893506,0.395031963,37099.8314,0.380219639,14358.62108,0.147155109,0.267669887,54608.3435,0.617236859,0.966704191,0.364754531,0.51234684,0.486763512
VCB,6/30/2018,108848.4321,91028.80424,1722.071176,1046.583168,1257.815002,16373.74671,12324.13737,101760.7274,2372,10565.16193,8414.999325,2233.549594,73905.59984,1500.588343,2474.369996,973.7816532,large,high,north,0.028896494,0.056349117,0.042900347,0.144083113,0.018917871,1.328591707,0.894537672,0.008946217,0.092169118,0.607746755,21555.93268,33060.08418,15847.4752,339.2692704,20226.04291,6892.788759,29520.40003,52857.35034,A,1.135706292,35287.52995,41952.80588,0.633404539,0.431507693,1810.125374,940.7691768,0.015,187512.1314,61059.01525,16190.29518,1.722690237,0.670765872,0.177859034,0.485605068,35901.21537,0.352800302,16456.4059,0.161716669,0.267669887,47522.96629,0.522065149,0.966761922,0.371283673,0.483806873,0.536905308
VCB,9/30/2018,114488.3868,93469.96331,2004.399596,1297.405969,1609.95557,15574.04481,12994.28678,104027.6588,2311,10761.94104,8558.026807,1989.684119,80103.21762,1661.038993,2724.125216,1063.086223,large,high,north,0.026817435,0.051814753,0.022277076,0.131676495,0.021444318,1.198530175,0.898510688,0.009285538,0.098782015,0.647279101,22134.00751,33946.67085,16272.46384,348.3676021,20768.4535,7077.635675,30312.06144,48688.00125,A,1.135706292,36176.40613,43009.5772,0.635689066,0.432205716,1951.12629,1035.8606,0.015,207402.2362,51555.76154,15675.01084,1.811556979,0.551575712,0.167701048,0.425265851,37394.98764,0.359471587,19617.00542,0.188574901,0.267669887,48767.54249,0.521745604,0.953667143,0.393670823,0.481092054,0.509925462
VCB,12/31/2018,112692.414,91798.21833,2121.532284,1349.247284,1808.814186,15876.04934,11714.83785,102274.8289,2189,10626.27793,8584.247336,2304.573701,75638.52564,1613.173913,2718.890616,1105.716703,large,high,north,-0.017885371,-0.015686944,-0.016849653,0.143958663,0.023110822,1.355208629,0.897564135,0.009811811,0.104054939,0.635977729,21738.13257,33339.52205,15981.42479,342.1369183,20397.00201,6951.049536,29769.91898,53272.82969,A,1.135706292,35542.77356,42256.26111,0.635145133,0.432039571,1922.000345,1033.838499,0.015,237317.6525,59479.48421,14584.00621,2.105888446,0.64793724,0.158870253,0.472727736,37237.69342,0.36409441,18486.46587,0.180752841,0.267669887,51485.41037,0.560854135,1,0.371968341,0.502091184,0.592635353
VCB,3/31/2019,116371.536,92594.74095,1532.510957,1189.160608,1121.563767,15729.43588,13208.93799,106708.2496,2261,10533.1639,8836.807913,2221.336731,79005.8109,1859.418654,3029.649935,1170.231281,large,high,north,0.008676885,0.032647469,0.043348112,0.139966219,0.016550734,1.190817604,0.867737418,0.010055992,0.111099693,0.775955697,21926.75186,33628.80526,16120.09378,345.1056011,20573.98445,7011.362996,30028.22915,46781.19433,A,1.135706292,36292.05248,43147.06739,0.617894265,0.426753921,2047.804937,1150.881527,0.015,236240.4192,45928.36935,15006.23587,2.030053287,0.49601488,0.162063587,0.401998598,37408.70208,0.350569916,19127.52687,0.179250685,0.267669887,53914.40253,0.582262037,1,0.389631502,0.508513555,0.527346538
VCB,6/30/2019,128163.0734,101260.7453,1665.909454,1265.60564,1402.238648,19753.35465,14341.16553,115054.6501,2594,10371.31933,8140.226451,2001.740683,91774.04371,1839.038473,3186.271731,1347.233259,large,high,north,0.093590675,0.101326645,0.078217013,0.110510191,0.016451681,1.377388373,0.880109975,0.010511868,0.129899892,0.75970854,23978.89136,36776.14785,17628.78424,377.4042673,22499.51755,7667.561192,32838.59139,61338.08022,A,1.135706292,39484.68494,46942.73941,0.625076401,0.42895838,2153.663567,1210.869563,0.015,231994.7037,67708.70296,19854.99194,1.810152469,0.668656969,0.196077877,0.478594018,40779.6114,0.354436882,19645.84993,0.170752333,0.267669887,62661.38399,0.618812194,0.997463088,0.363854011,0.51897122,0.55014857
VCB,9/30/2019,137291.2435,108647.766,1753.191329,1183.241483,1474.237869,19829.06758,14763.34043,122922.4838,2596,10483.73082,8058.123798,1900.251353,97414.82733,2171.396076,3712.057629,1540.661553,large,high,north,0.072950487,0.07122309,0.068383448,0.102226483,0.016136469,1.343128791,0.883872198,0.011221849,0.146957374,0.674907218,25728.16317,39458.98574,18914.81264,404.9360924,24140.86831,8226.913515,35234.18263,56299.64174,A,1.135706292,42299.78089,50289.56401,0.627252938,0.42962535,2483.611003,1410.855754,0.015,267921.1379,56144.87425,18538.93465,1.95148016,0.516760504,0.170633372,0.410074527,42390.53517,0.34485583,20705.88212,0.168446662,0.267669887,66004.83384,0.607512113,1,0.365360618,0.516088578,0.521282297
VCB,12/31/2019,136041.3369,106364.8058,2377.974311,1928.312599,1833.134159,19127.01769,15582.32107,124947.7396,2508,10306.33767,8355.062469,2214.403465,98120.77273,2119.907064,3427.794279,1307.887215,large,high,north,-0.021012491,-0.009104052,0.016475878,0.107718943,0.022356778,1.22748194,0.851274349,0.009613896,0.126901258,0.810905564,25187.55037,38629.85416,18517.36531,396.4273764,23633.60853,8054.045569,34493.82468,52231.05943,A,1.135706292,41983.89651,49914.0139,0.608279418,0.423794115,2487.31835,1301.415531,0.015,298435.4089,42891.74571,19829.27016,2.193711232,0.403251295,0.186426986,0.383935211,43508.55076,0.348213988,22617.44719,0.181015257,0.267669887,61342.47541,0.576717787,1,0.382301539,0.50685028,0.524987448
VCB,3/31/2020,123166.6985,98423.12116,1571.54675,1108.351221,1308.286006,17070.40694,13586.63028,115090.8193,2396,10194.17799,8164.107183,2005.15852,83820.79448,1975.599012,3351.926091,1376.327079,large,high,north,-0.07466459,-0.094637694,-0.078888345,0.121321514,0.015967252,1.256412119,0.855177866,0.011174507,0.13501109,0.705261374,23306.93225,35745.57195,17134.77382,366.828289,21869.01485,7452.693561,31918.35741,59828.64688,A,1.135706292,38783.57037,46109.19499,0.610565214,0.424498668,2370.073367,1272.776303,0.015,220056.7638,66102.40445,19718.25808,1.786657973,0.671614593,0.200341727,0.485753435,40055.12769,0.348030607,16019.39149,0.139189134,0.267669887,54562.85736,0.554370322,1,0.378100025,0.50014604,0.54783605
VCB,6/30/2020,129215.0716,99871.19557,1826.949408,1145.638556,1357.75807,19392.64585,13586.40257,118536.6416,2578,10386.55521,8130.462879,1884.90507,91441.56556,1928.047402,3087.365726,1159.318324,large,high,north,0.014712746,0.049107212,0.029940028,0.109527521,0.018293056,1.427356929,0.842534378,0.008972005,0.111617211,0.627077329,23649.84124,36271.48748,17386.8734,372.2253406,22190.76812,7562.34315,32387.96411,51052.14777,A,1.135706292,39572.07651,47046.6379,0.603147829,0.422210349,2206.123738,1171.824247,0.015,244195.6839,42683.55109,21875.73503,1.889839017,0.427386003,0.219039483,0.395094373,39256.49684,0.331176051,17582.3958,0.148328783,0.267669887,64738.67558,0.648221694,1,0.345029985,0.528301452,0.482698408
